#:C0     
#Xilinx FPGA Editor Command Log File
#Editor Version:
#:V   NT M2.1 P.20131013
#Current Working Directory:
#:D   C:\BlifParser3\xdlFileCreated
#Date/Time:
#:T   Tue Jul 29 01:34:34 2014
#------------------------------
	#Reading C:\BlifParser3\xdlFileCreated\helloWorld.ncd...
	#ERROR:Place - IOB component "key<155>" is placed to DIFFS site "PAD364". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<169>" is placed to DIFFM site "PAD287". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<255>" is placed to DIFFS site "PAD172". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<241>" is placed to DIFFM site "PAD173". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<221>" is placed to DIFFS site "PAD148". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<235>" is placed to DIFFM site "PAD143". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<149>" is placed to DIFFM site "PAD343". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<252>" is placed to DIFFM site "PAD165". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<168>" is placed to DIFFM site "PAD363". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<158>" is placed to DIFFM site "PAD357". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<242>" is placed to DIFFS site "PAD174". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<138>" is placed to DIFFM site "PAD351". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<232>" is placed to DIFFM site "PAD151". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<148>" is placed to DIFFM site "PAD341". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<253>" is placed to DIFFS site "PAD170". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<157>" is placed to DIFFS site "PAD356". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<167>" is placed to DIFFS site "PAD360". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<243>" is placed to DIFFM site "PAD175". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<137>" is placed to DIFFS site "PAD352". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<233>" is placed to DIFFM site "PAD145". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<147>" is placed to DIFFM site "PAD367". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "KSi<4>_FINAL_OUTPUT" is placed to DIFFM site "PAD179". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<194>" is placed to DIFFS site "PAD246". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<166>" is placed to DIFFM site "PAD361". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<250>" is placed to DIFFM site "PAD191". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<200>" is placed to DIFFM site "PAD263". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<152>" is placed to DIFFM site "PAD353". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<193>" is placed to DIFFM site "PAD245". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<201>" is placed to DIFFM site "PAD239". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<251>" is placed to DIFFS site "PAD166". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<151>" is placed to DIFFS site "PAD354". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<202>" is placed to DIFFS site "PAD240". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<192>" is placed to DIFFS site "PAD272". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<154>" is placed to DIFFM site "PAD365". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<203>" is placed to DIFFS site "PAD242". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<191>" is placed to DIFFM site "PAD271". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<153>" is placed to DIFFS site "PAD362". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<170>" is placed to DIFFS site "PAD288". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<142>" is placed to DIFFS site "PAD346". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<180>" is placed to DIFFM site "PAD269". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<190>" is placed to DIFFS site "PAD270". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<204>" is placed to DIFFM site "PAD241". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<141>" is placed to DIFFM site "PAD349". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<161>" is placed to DIFFM site "PAD289". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<205>" is placed to DIFFS site "PAD244". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<160>" is placed to DIFFM site "PAD359". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<140>" is placed to DIFFS site "PAD348". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<182>" is placed to DIFFS site "PAD284". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<150>" is placed to DIFFS site "PAD342". A component of type IOB can not be placed to a site of type DIFFS
	#ERROR:Place - IOB component "key<206>" is placed to DIFFM site "PAD243". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<181>" is placed to DIFFM site "PAD283". A component of type IOB can not be placed to a site of type DIFFM
	#ERROR:Place - IOB component "key<207>" is placed to DIFFM site "PAD247". A component of type IOB can not be placed to a site of type DIFFM
	#Building chip graphics...
	#Loading speed info...
	#1
select -k comp 'C<39>_C<38>_C<37>_C<36>'
	#2
unselect -all
	#3
unselect -all
	#4
select comp 'C<31>_C<30>_C<29>_C<28>'
	#comp "C<31>_C<30>_C<29>_C<28>",  site "SLICE_X6Y72",  type = SLICEL  (RPM grid X21Y288)
	#5
unselect -all
	#6
select comp 'C<31>_C<30>_C<29>_C<28>'
	#comp "C<31>_C<30>_C<29>_C<28>",  site "SLICE_X6Y72",  type = SLICEL  (RPM grid X21Y288)
	#7
post block
